N,P,K,temperature,humidity,ph,water_oxygen,water_temp,fish_density,label
84,41,46,22.3,61.9,6.4,6.4,19.7,1.2,Lettuce
112,34,41,23.6,60.7,5.9,6.9,18.3,0.7,Lettuce
97,44,31,21.8,74.8,5.5,6.9,24.9,1.5,Lettuce
82,57,38,22.1,68.4,5.6,5.5,26.3,0.6,Lettuce
85,49,60,18.1,70.2,5.7,7.4,27.2,0.7,Lettuce
97,50,42,23.2,71.5,5.9,8.8,19.7,1.9,Lettuce
115,35,31,20.2,61.8,6.4,8.5,19.1,0.7,Lettuce
98,50,40,23.3,73.9,6.0,9.0,18.3,1.0,Lettuce
82,31,47,21.1,73.9,5.7,7.5,23.8,0.8,Lettuce
114,39,45,21.8,69.0,5.7,5.6,23.6,1.5,Lettuce
115,58,39,18.7,68.0,5.9,9.7,19.6,0.7,Lettuce
104,47,42,22.3,79.3,6.0,8.8,18.5,0.7,Lettuce
108,44,35,19.7,72.6,6.2,5.6,26.2,2.0,Lettuce
116,39,39,21.1,73.4,6.3,5.8,20.3,0.7,Lettuce
105,30,60,22.4,60.1,5.6,8.0,22.2,0.7,Lettuce
115,52,58,18.5,63.2,6.0,5.2,24.5,1.6,Lettuce
85,32,51,22.0,62.0,5.7,9.4,20.9,1.1,Lettuce
91,56,36,18.9,64.2,5.7,8.7,27.7,1.3,Lettuce
96,43,30,22.1,74.8,6.4,5.5,23.4,1.2,Lettuce
103,37,51,23.4,63.0,5.7,6.8,26.2,1.7,Lettuce
112,31,52,19.2,71.1,5.7,5.6,23.4,1.5,Lettuce
112,41,55,21.9,67.4,5.6,5.6,23.4,0.5,Lettuce
86,47,52,23.2,66.5,5.7,6.5,23.6,0.6,Lettuce
114,48,37,22.2,71.3,6.3,5.0,19.0,1.7,Lettuce
111,52,31,18.9,70.4,5.6,8.2,21.5,1.7,Lettuce
116,34,32,22.0,71.5,6.2,9.1,27.9,1.1,Lettuce
91,45,56,19.9,79.0,6.3,9.2,24.2,1.1,Lettuce
110,41,52,20.0,77.4,5.9,7.0,24.6,1.7,Lettuce
80,57,39,21.7,64.0,6.2,7.6,26.2,1.6,Lettuce
97,54,30,23.2,68.2,6.2,8.2,22.6,1.2,Lettuce
92,53,52,18.2,71.4,6.0,8.5,24.4,0.5,Lettuce
115,42,41,22.9,69.5,5.8,9.8,22.0,0.7,Lettuce
87,32,55,23.4,73.2,6.4,5.1,26.7,1.3,Lettuce
116,35,39,21.8,78.9,6.3,8.6,18.6,1.1,Lettuce
100,54,41,20.5,69.0,6.4,7.0,22.1,1.5,Lettuce
102,31,32,18.9,70.0,5.6,6.4,23.4,1.5,Lettuce
96,30,45,22.3,70.0,5.9,7.6,23.2,1.3,Lettuce
103,39,38,18.5,75.4,6.2,6.4,19.4,0.8,Lettuce
109,56,33,20.6,69.4,5.8,9.9,27.2,1.9,Lettuce
111,51,48,19.0,79.7,6.3,5.6,23.1,0.6,Lettuce
111,44,38,21.8,62.3,6.0,7.3,19.5,1.8,Lettuce
110,41,33,20.2,79.7,6.2,8.9,27.5,1.8,Lettuce
115,59,45,19.9,66.7,5.8,8.2,23.8,0.5,Lettuce
102,42,58,23.6,67.6,5.8,7.9,19.6,1.2,Lettuce
111,54,52,23.3,61.2,5.8,8.2,25.5,0.8,Lettuce
94,39,31,22.6,61.6,6.0,6.6,20.4,1.8,Lettuce
81,46,52,20.7,63.0,5.7,8.4,21.0,1.0,Lettuce
96,39,42,18.4,60.8,6.4,7.5,21.2,1.2,Lettuce
85,51,37,19.4,76.8,6.3,6.1,23.4,1.2,Lettuce
90,32,44,21.7,79.4,6.4,6.2,25.7,1.4,Lettuce
116,49,45,19.0,66.4,5.6,9.7,18.2,1.7,Lettuce
86,35,45,22.2,60.5,5.8,5.7,23.4,1.0,Lettuce
83,46,33,20.4,61.2,6.0,8.6,21.2,2.0,Lettuce
109,47,41,23.9,69.6,5.8,5.6,25.3,1.4,Lettuce
91,51,47,22.1,66.6,5.7,8.7,27.3,0.5,Lettuce
85,56,44,20.8,73.7,6.0,9.7,20.4,0.9,Lettuce
99,37,59,20.8,60.1,5.6,5.8,20.4,0.9,Lettuce
82,58,38,20.3,68.2,6.0,5.3,24.8,1.5,Lettuce
97,56,41,18.2,61.0,5.9,9.5,24.0,1.0,Lettuce
119,38,56,21.4,77.0,5.9,8.8,27.5,1.3,Lettuce
83,31,34,20.4,74.2,6.2,5.8,26.9,1.7,Lettuce
113,50,45,18.6,63.5,5.5,7.6,18.8,0.6,Lettuce
80,59,53,20.0,79.0,6.0,8.0,23.6,0.9,Lettuce
85,31,46,19.7,77.4,5.6,8.8,27.1,1.8,Lettuce
109,40,44,19.1,60.7,6.3,5.2,20.3,1.7,Lettuce
93,42,44,18.7,60.3,5.9,7.2,21.4,1.4,Lettuce
94,30,57,18.9,76.8,6.5,6.2,22.4,0.9,Lettuce
117,57,38,19.5,77.0,5.6,7.6,23.1,1.2,Lettuce
115,38,53,20.4,72.9,6.1,7.9,24.5,0.8,Lettuce
84,36,35,21.8,61.8,5.8,8.6,25.4,0.6,Lettuce
115,32,35,19.5,62.4,5.9,7.4,25.6,1.8,Lettuce
89,60,49,23.2,65.8,5.8,6.6,27.7,1.2,Lettuce
104,55,45,23.1,73.6,6.5,6.8,26.1,0.6,Lettuce
118,49,38,18.0,78.9,5.7,6.5,22.8,0.6,Lettuce
81,42,34,23.3,70.4,6.3,7.6,19.2,0.9,Lettuce
91,44,53,18.9,66.8,5.6,6.4,18.2,0.8,Lettuce
120,45,49,18.5,72.6,5.5,9.8,26.3,2.0,Lettuce
94,42,40,21.9,67.3,6.4,5.1,27.6,0.5,Lettuce
89,53,47,21.1,68.6,6.2,8.2,21.9,1.0,Lettuce
111,47,37,18.3,75.2,5.9,9.4,26.2,1.2,Lettuce
84,42,50,22.3,72.0,6.2,7.0,23.4,0.9,Lettuce
110,57,30,22.3,71.1,6.3,7.8,27.7,1.7,Lettuce
111,33,48,22.9,66.1,5.6,5.3,22.0,1.4,Lettuce
106,47,37,20.1,64.0,6.4,5.3,25.3,1.1,Lettuce
89,40,54,20.2,63.6,6.4,8.7,22.2,0.6,Lettuce
110,42,30,21.5,76.3,5.7,6.1,20.1,2.0,Lettuce
86,35,30,23.9,67.1,6.3,7.0,28.0,0.6,Lettuce
92,54,32,21.1,78.1,5.7,5.5,22.5,0.7,Lettuce
104,44,43,23.1,63.3,6.4,9.4,25.3,0.6,Lettuce
108,49,34,20.9,73.7,5.8,6.4,26.1,0.8,Lettuce
92,43,52,19.4,63.5,5.9,7.1,19.1,0.8,Lettuce
82,60,31,21.3,66.0,6.0,8.0,27.3,1.3,Lettuce
120,50,52,20.5,74.9,5.6,5.4,23.8,2.0,Lettuce
88,34,48,20.7,68.4,6.2,6.7,26.8,1.3,Lettuce
104,58,38,19.0,74.4,6.0,7.5,24.4,1.3,Lettuce
107,55,49,18.2,79.8,5.6,5.5,25.7,1.5,Lettuce
96,50,31,20.2,61.8,6.2,5.2,20.9,1.1,Lettuce
81,34,54,23.3,70.7,5.7,9.6,19.3,1.7,Lettuce
113,45,31,24.0,77.9,5.5,5.5,25.8,1.2,Lettuce
97,35,40,21.1,76.5,6.3,7.9,22.5,0.8,Lettuce
112,42,52,22.8,75.4,5.7,5.7,18.6,1.6,Lettuce
88,51,60,23.1,71.2,6.0,7.1,18.5,1.7,Lettuce
85,42,57,21.8,70.8,5.7,5.3,19.0,1.8,Lettuce
117,52,50,21.9,73.7,6.3,9.3,19.1,1.3,Lettuce
104,34,34,18.4,63.3,6.2,7.3,23.3,2.0,Lettuce
95,45,60,22.3,75.3,6.2,9.7,27.8,0.6,Lettuce
117,35,40,23.7,72.3,6.4,6.9,26.3,1.6,Lettuce
91,45,58,22.0,71.0,6.0,5.0,22.3,1.6,Lettuce
97,47,56,22.3,79.1,5.9,5.4,19.1,0.6,Lettuce
95,30,52,23.8,77.1,6.1,9.3,25.3,1.6,Lettuce
99,38,55,19.1,74.3,6.4,7.5,24.9,0.7,Lettuce
103,35,54,23.6,71.2,5.7,9.4,27.5,1.0,Lettuce
101,52,43,22.8,74.7,5.5,9.2,26.5,1.8,Lettuce
113,40,47,23.2,63.3,6.5,5.2,26.3,0.8,Lettuce
77,41,62,20.7,51.4,5.6,6.9,19.1,1.9,Basil
72,39,44,22.9,64.8,6.1,6.1,18.8,1.9,Basil
74,29,69,20.5,57.7,5.5,6.5,27.5,1.1,Basil
91,42,58,24.6,62.4,5.6,9.2,24.3,0.6,Basil
82,27,54,26.7,65.0,5.9,8.1,19.8,1.1,Basil
74,44,52,29.5,54.9,6.0,9.6,24.6,0.6,Basil
107,47,65,23.8,56.8,6.0,8.6,19.0,1.8,Basil
74,41,67,27.4,68.6,6.5,7.8,20.1,0.9,Basil
82,43,63,23.9,68.5,5.8,6.5,21.2,0.7,Basil
77,42,61,27.1,52.2,5.6,7.6,19.8,1.3,Basil
96,33,61,28.0,59.8,6.2,5.7,28.0,0.8,Basil
81,44,52,25.0,61.2,6.3,5.5,23.2,1.5,Basil
98,30,64,29.4,66.5,6.0,5.1,26.4,1.4,Basil
99,35,63,29.3,66.1,6.2,7.2,19.8,0.7,Basil
99,50,59,27.2,66.4,5.9,8.5,19.9,1.0,Basil
70,27,52,29.8,68.5,5.9,8.6,25.7,1.3,Basil
105,31,69,22.4,55.4,5.5,9.0,23.0,1.2,Basil
82,33,70,29.8,70.0,5.9,5.8,18.0,1.3,Basil
79,47,67,28.5,53.9,5.5,8.0,19.1,1.9,Basil
108,37,57,26.9,68.3,6.4,5.6,20.5,1.4,Basil
96,48,61,24.9,66.9,6.4,6.9,24.3,1.4,Basil
92,29,64,27.9,65.8,5.8,5.9,21.8,1.9,Basil
77,25,60,26.8,63.8,6.1,5.6,21.4,1.2,Basil
108,40,60,21.5,66.8,5.5,7.6,24.5,1.9,Basil
103,41,67,26.8,60.1,5.8,9.5,18.7,0.6,Basil
75,40,60,22.9,54.3,6.3,7.2,19.7,1.6,Basil
110,41,59,22.3,51.3,6.1,6.7,25.6,1.4,Basil
97,38,43,29.4,61.3,5.5,8.9,22.5,1.9,Basil
97,37,67,25.1,57.7,5.7,9.8,19.9,0.8,Basil
88,45,45,26.2,58.3,6.1,8.8,27.4,0.5,Basil
82,47,61,27.2,68.4,6.5,8.8,18.7,1.3,Basil
70,35,42,27.2,58.9,6.0,7.5,27.1,1.6,Basil
79,35,48,25.4,59.2,5.8,9.2,25.9,1.1,Basil
78,46,46,22.9,63.4,6.3,8.2,26.0,1.6,Basil
109,32,66,21.3,52.1,5.9,5.6,20.7,1.3,Basil
94,30,44,23.1,55.9,5.8,9.0,26.4,0.9,Basil
83,48,42,29.4,58.5,6.4,8.6,25.1,0.5,Basil
110,41,47,26.5,62.0,6.0,6.7,20.1,0.8,Basil
94,46,62,28.1,53.5,5.7,5.6,25.3,1.2,Basil
70,25,69,21.5,62.1,6.1,9.2,21.6,1.3,Basil
101,31,65,25.4,61.1,6.0,6.8,22.9,0.8,Basil
80,46,64,29.5,62.8,5.7,5.2,26.8,1.4,Basil
101,30,70,20.7,63.4,6.4,8.3,21.0,0.7,Basil
92,36,55,28.1,61.5,6.4,8.4,26.2,1.8,Basil
98,31,56,21.2,54.3,6.5,9.1,18.2,1.2,Basil
103,28,47,24.4,64.1,6.4,7.6,24.1,1.0,Basil
70,27,57,27.7,57.0,5.9,8.3,19.9,1.0,Basil
71,39,50,21.8,69.2,6.0,7.9,24.0,1.1,Basil
98,32,57,27.6,68.1,6.0,7.2,19.4,0.6,Basil
71,33,45,24.4,61.8,5.8,5.4,22.6,1.8,Basil
70,40,62,24.9,61.5,5.6,9.6,27.2,1.5,Basil
73,48,42,29.0,59.5,5.7,8.7,22.0,0.8,Basil
75,35,58,27.2,64.4,5.5,7.2,19.0,1.4,Basil
103,26,56,23.6,53.9,5.6,9.6,20.7,1.3,Basil
100,48,66,21.4,62.1,5.7,7.1,22.8,0.7,Basil
92,36,67,22.5,66.7,6.4,10.0,20.7,0.8,Basil
100,34,60,23.5,66.6,6.5,6.8,21.0,1.1,Basil
81,36,50,23.2,61.0,6.5,9.2,27.0,0.9,Basil
103,47,51,20.5,56.8,6.0,7.1,21.6,1.8,Basil
80,49,51,25.8,67.9,5.7,9.6,22.2,1.3,Basil
106,40,50,26.6,52.8,5.6,6.1,21.8,1.1,Basil
102,44,48,21.4,52.1,5.6,5.3,19.4,0.9,Basil
74,50,48,27.5,55.7,5.8,5.4,18.7,1.2,Basil
78,42,57,27.8,52.6,6.3,5.8,20.8,1.1,Basil
100,37,52,28.1,61.6,6.1,7.4,23.9,1.2,Basil
102,26,61,28.7,63.4,5.8,8.6,26.3,1.1,Basil
83,45,47,29.6,53.4,5.9,9.0,23.0,1.9,Basil
86,43,49,20.7,68.8,6.1,7.0,27.7,1.2,Basil
81,25,64,27.3,62.3,6.0,9.9,26.6,0.6,Basil
73,27,45,25.1,57.0,5.5,7.1,24.5,1.2,Basil
110,48,42,29.9,54.6,6.0,9.1,24.0,1.9,Basil
76,45,45,21.0,65.6,6.1,8.8,20.2,1.1,Basil
104,36,40,25.5,69.4,6.0,7.6,23.6,1.0,Basil
94,50,69,24.3,58.9,6.3,8.9,21.7,1.3,Basil
71,38,59,21.9,51.5,6.2,6.1,22.8,0.6,Basil
73,30,65,25.6,52.0,6.4,9.9,18.1,0.6,Basil
101,30,68,24.4,69.9,6.2,8.0,22.7,0.7,Basil
76,47,70,22.4,65.3,6.5,8.0,19.5,1.6,Basil
73,41,51,25.1,63.4,6.1,7.2,22.0,0.9,Basil
106,40,58,22.0,64.2,5.8,6.1,20.5,1.4,Basil
96,42,47,24.8,51.9,6.3,5.7,27.0,1.5,Basil
73,41,66,29.6,66.7,5.8,9.5,24.9,0.9,Basil
110,42,69,29.0,58.5,6.3,9.5,21.0,1.6,Basil
83,40,51,24.5,59.6,5.9,7.2,19.8,1.2,Basil
96,41,54,21.1,52.0,6.5,8.7,23.8,0.5,Basil
72,43,60,25.1,55.3,6.3,8.7,25.0,1.7,Basil
108,41,63,25.1,55.7,6.5,9.2,27.0,0.6,Basil
102,43,54,25.2,64.1,6.0,9.9,23.6,1.2,Basil
89,43,44,29.1,54.3,6.0,6.2,24.6,1.1,Basil
108,30,62,21.3,61.8,5.7,7.0,27.4,0.7,Basil
75,26,46,22.9,50.4,5.8,7.0,21.2,0.9,Basil
74,42,67,24.6,69.0,6.3,7.4,23.6,0.8,Basil
70,47,61,28.6,57.9,6.3,9.8,22.0,1.0,Basil
93,42,58,29.1,65.2,5.5,7.7,22.6,0.9,Basil
70,34,43,25.7,65.8,6.3,7.7,19.7,0.9,Basil
105,27,52,23.1,58.5,5.8,5.4,22.6,1.6,Basil
109,29,45,20.8,53.3,5.5,8.6,19.1,0.9,Basil
109,40,48,29.5,56.7,6.3,8.1,23.0,1.8,Basil
93,37,44,23.6,60.8,6.4,6.0,27.7,1.3,Basil
108,35,41,24.2,69.9,5.8,6.0,19.5,1.6,Basil
106,30,41,23.6,53.4,5.9,7.0,21.0,0.6,Basil
96,32,65,21.9,62.8,6.4,5.3,20.8,0.7,Basil
105,50,41,25.8,63.4,5.8,9.9,20.0,1.6,Basil
84,30,57,24.8,69.8,5.5,9.8,22.3,1.2,Basil
71,25,57,23.7,50.9,6.0,7.7,23.0,1.0,Basil
86,48,65,27.0,64.4,6.1,6.1,23.7,1.9,Basil
75,30,52,27.6,58.7,6.1,7.1,22.0,0.9,Basil
98,47,55,21.1,54.9,5.8,8.1,18.6,0.6,Basil
102,41,48,26.5,64.6,6.2,8.7,20.5,0.5,Basil
105,29,48,29.1,61.1,6.2,6.6,18.8,1.0,Basil
76,46,70,24.2,59.7,5.9,7.4,19.3,1.6,Basil
109,25,70,25.1,53.4,6.0,6.2,19.0,1.1,Basil
80,30,44,29.9,59.5,5.7,7.1,26.5,1.4,Basil
90,39,47,21.7,61.1,6.4,7.3,23.4,1.1,Basil
80,38,63,22.3,57.6,5.8,6.4,19.5,0.9,Basil
88,37,68,28.7,54.4,6.4,5.9,20.6,0.9,Basil
87,39,64,21.3,68.7,6.2,8.3,18.9,1.4,Basil
106,46,64,26.4,57.9,5.6,9.0,24.2,1.2,Basil
97,26,70,23.7,67.1,5.7,9.1,20.8,0.7,Basil
102,34,56,24.0,60.4,5.9,9.9,20.7,0.8,Basil
76,49,58,26.5,60.7,5.9,7.5,23.1,1.0,Basil
75,41,66,27.2,50.9,5.6,9.3,27.2,1.0,Basil
108,45,68,28.3,66.1,6.5,6.3,19.2,0.9,Basil
81,49,44,25.6,54.2,5.9,9.7,24.0,1.9,Basil
94,48,62,29.3,59.3,6.2,5.5,26.6,1.5,Basil
74,34,53,27.3,65.7,6.4,6.9,26.8,0.7,Basil
81,31,67,25.4,66.6,5.8,5.3,25.4,0.5,Basil
74,25,50,25.5,66.6,6.2,8.2,25.0,1.6,Basil
91,42,54,29.7,50.4,6.3,8.6,22.4,0.6,Basil
110,37,40,21.9,50.8,5.6,5.9,22.8,1.7,Basil
102,31,65,27.9,55.6,6.0,6.5,27.1,1.2,Basil
72,42,45,22.3,54.9,5.8,8.0,26.7,0.5,Basil
104,34,68,22.4,57.6,6.1,8.7,18.7,0.7,Basil
105,44,48,28.9,68.9,5.9,6.7,24.7,1.1,Basil
91,44,67,25.0,55.6,5.9,7.4,25.0,1.5,Basil
78,33,45,20.6,69.1,5.8,9.3,24.1,0.8,Basil
71,42,66,30.0,65.7,5.6,9.7,22.8,1.6,Basil
79,26,59,24.1,65.3,5.5,8.1,22.6,0.8,Basil
85,48,64,25.4,50.6,6.2,7.4,22.4,0.8,Basil
92,43,41,22.4,61.6,5.7,5.8,23.3,1.6,Basil
100,30,41,27.0,59.1,6.1,5.1,22.6,0.8,Basil
88,42,43,29.3,52.8,6.1,5.1,24.8,1.2,Basil
93,48,40,24.4,50.3,6.2,6.6,23.4,1.9,Basil
101,27,51,27.9,67.5,5.8,8.2,27.1,1.9,Basil
74,26,41,29.0,53.8,6.0,5.7,19.6,1.0,Basil
101,33,63,21.7,69.9,6.0,5.7,21.5,1.4,Basil
106,39,40,25.2,62.6,6.2,7.7,25.2,1.4,Basil
97,36,45,24.2,61.5,5.9,7.4,26.3,1.2,Basil
76,45,49,26.8,67.8,6.2,5.4,27.9,1.0,Basil
70,43,65,20.5,67.1,6.4,7.2,25.5,1.8,Basil
105,36,59,28.4,54.4,5.6,7.4,25.4,2.0,Basil
75,35,65,24.1,63.4,6.3,6.6,18.1,1.7,Basil
80,30,57,29.1,64.3,6.5,6.3,23.2,1.0,Basil
108,48,51,21.6,55.1,6.3,9.0,18.4,1.2,Basil
92,34,69,28.6,69.6,6.4,5.3,27.1,0.9,Basil
90,37,66,27.9,62.0,5.5,9.5,23.7,0.6,Basil
90,29,58,26.9,59.1,6.2,7.2,27.0,1.6,Basil
78,44,70,27.0,52.3,5.7,6.3,22.2,1.2,Basil
94,25,56,23.3,68.8,5.9,9.9,26.7,2.0,Basil
91,27,60,27.4,57.8,5.5,5.2,23.0,1.9,Basil
90,43,43,20.3,64.6,6.2,9.6,20.7,0.6,Basil
97,33,70,24.5,70.0,6.5,7.6,24.1,1.7,Basil
72,47,40,26.5,62.7,6.2,5.6,26.3,1.9,Basil
80,43,52,23.6,60.7,6.1,5.7,19.0,0.9,Basil
75,32,44,24.8,50.3,6.0,5.3,24.8,1.7,Basil
81,43,67,27.6,55.9,5.8,9.2,19.1,0.5,Basil
92,40,66,24.6,58.6,6.5,5.0,19.2,0.7,Basil
103,30,55,28.5,67.7,6.0,7.6,23.3,1.3,Basil
88,44,41,23.1,56.1,6.5,7.8,21.5,1.9,Basil
90,43,60,27.5,56.9,6.3,9.0,22.7,0.5,Basil
85,49,57,28.3,54.1,6.2,6.2,22.9,1.0,Basil
78,38,56,28.4,66.0,5.9,9.0,24.5,1.8,Basil
71,36,64,22.9,69.7,6.1,7.6,19.6,1.4,Basil
70,25,41,21.6,56.0,6.3,6.5,23.7,1.4,Basil
76,35,54,23.1,51.8,6.4,6.2,20.7,1.2,Basil
76,47,70,26.4,57.8,5.8,7.9,25.7,1.6,Basil
78,37,53,23.4,67.1,6.2,8.7,25.4,0.6,Basil
80,29,70,20.0,52.8,6.0,5.4,25.0,1.1,Basil
100,39,48,27.6,51.9,6.1,6.8,19.8,1.1,Basil
74,26,59,20.1,62.9,5.6,5.1,25.2,0.5,Basil
72,50,46,28.8,54.6,6.2,5.3,20.9,0.9,Basil
73,36,55,29.3,51.7,6.2,9.4,23.1,1.5,Basil
77,48,59,23.6,56.9,6.4,9.8,23.3,1.2,Basil
91,50,61,29.6,58.2,5.8,6.9,21.9,0.9,Basil
70,48,58,23.7,61.5,6.1,6.1,22.9,1.7,Basil
73,48,59,29.3,55.8,6.3,6.1,22.8,1.9,Basil
106,37,50,23.9,56.1,6.2,7.7,20.6,2.0,Basil
102,44,58,27.4,65.7,5.6,8.7,19.7,1.4,Basil
89,46,44,26.6,57.4,6.0,7.4,20.1,1.8,Basil
106,36,59,23.5,58.7,6.4,8.6,18.6,1.9,Basil
110,37,57,22.4,51.6,5.7,7.6,20.4,1.0,Basil
84,30,44,24.1,58.7,6.4,9.6,23.9,0.7,Basil
102,25,40,27.9,57.8,5.5,7.7,26.5,1.6,Basil
79,43,64,21.9,66.5,5.8,5.3,26.7,1.1,Basil
91,48,49,24.1,62.6,6.2,6.6,24.8,1.5,Basil
82,27,51,26.5,67.2,6.3,6.6,27.4,0.7,Basil
88,50,57,27.3,51.9,6.1,5.3,19.7,1.7,Basil
79,39,52,25.7,56.5,5.9,9.3,25.0,1.3,Basil
100,33,70,22.4,66.4,6.2,7.9,23.3,1.0,Basil
75,48,67,20.4,58.4,6.4,8.7,19.4,1.4,Basil
76,36,49,26.9,50.0,6.1,5.3,27.2,0.7,Basil
103,33,69,24.4,51.4,6.1,9.8,19.7,0.7,Basil
86,47,61,29.7,59.9,5.9,8.4,23.9,1.4,Basil
76,33,65,24.6,62.2,6.3,6.9,18.9,0.6,Basil
84,35,70,22.6,67.5,5.6,8.9,22.4,1.4,Basil
90,48,41,20.6,55.4,6.0,6.5,25.0,1.8,Basil
77,42,56,28.0,52.9,6.1,9.2,25.6,1.0,Basil
101,47,46,27.0,50.4,6.3,9.6,20.4,1.7,Basil
90,27,67,25.1,69.1,5.9,5.3,21.8,1.4,Basil
85,37,65,24.7,54.7,6.5,9.5,19.6,0.7,Basil
99,30,70,20.4,57.3,5.7,9.8,18.1,1.2,Basil
90,26,67,25.8,50.8,6.4,5.8,21.3,1.4,Basil
89,50,57,26.1,58.7,5.8,5.8,19.2,0.7,Basil
90,44,42,29.5,68.1,5.5,5.9,27.1,1.4,Basil
93,31,66,29.0,67.5,6.2,7.9,21.8,0.9,Basil
98,46,52,27.0,50.2,5.7,7.9,25.9,1.2,Basil
82,44,48,23.6,66.4,5.7,7.1,25.6,0.9,Basil
71,28,48,21.0,60.8,6.3,9.0,19.8,0.6,Basil
82,29,56,20.2,59.2,5.6,5.4,26.0,0.8,Basil
83,38,41,28.2,67.6,5.8,8.5,24.0,1.9,Basil
83,31,45,24.2,59.0,6.1,6.0,25.3,1.9,Basil
106,47,49,21.6,60.2,5.9,5.9,24.0,1.0,Basil
105,47,45,29.4,65.4,5.9,6.5,25.4,0.5,Basil
84,44,45,20.3,61.1,6.2,8.4,21.0,0.8,Basil
109,33,69,20.5,61.8,5.6,8.5,22.6,1.3,Basil
94,49,41,27.7,51.3,6.0,8.0,25.3,1.5,Basil
99,33,45,21.1,56.1,6.3,5.3,26.8,2.0,Basil
87,26,63,22.4,52.2,5.8,9.3,19.2,1.0,Basil
87,35,62,26.0,68.1,5.7,9.0,27.2,0.6,Basil
102,25,45,27.8,55.8,6.4,8.9,21.2,1.6,Basil
96,48,59,26.9,69.1,5.9,8.2,19.4,1.2,Basil
99,50,60,28.1,69.1,6.1,5.4,25.1,1.3,Basil
104,49,53,26.3,61.2,6.2,9.1,25.1,1.7,Basil
104,39,68,23.3,50.5,6.2,8.4,27.0,1.8,Basil
76,37,51,28.7,60.8,5.9,5.0,18.2,1.1,Basil
89,29,64,24.1,51.0,6.0,6.3,19.4,2.0,Basil
98,29,56,21.1,56.2,5.7,8.4,20.9,0.9,Basil
88,29,64,28.3,60.1,5.8,7.5,20.2,1.7,Basil
98,27,46,24.7,58.3,6.3,7.2,27.5,0.8,Basil
70,43,49,20.7,51.2,6.2,9.3,27.0,0.9,Basil
99,28,41,20.0,66.6,6.4,6.0,22.3,0.8,Basil
75,29,49,21.5,52.7,6.2,7.6,25.3,0.8,Basil
93,46,69,23.8,53.8,6.4,5.4,27.0,0.6,Basil
96,33,60,20.2,54.9,6.4,6.2,22.0,1.4,Basil
82,28,59,24.7,52.8,6.3,8.1,19.0,1.5,Basil
109,27,51,26.5,50.2,6.3,5.4,26.6,1.4,Basil
81,30,65,29.5,57.4,5.7,5.7,22.9,0.7,Basil
106,37,53,29.7,50.7,6.2,9.3,23.9,1.7,Basil
74,50,46,24.8,66.5,5.9,8.9,25.5,1.9,Basil
82,39,44,23.9,69.7,6.4,6.3,23.3,0.9,Basil
106,25,40,28.1,62.0,5.9,8.3,19.6,1.7,Basil
96,42,40,23.7,66.1,5.9,5.4,21.8,0.9,Basil
79,25,54,26.7,66.8,6.3,9.8,21.9,1.1,Basil
80,28,58,21.9,64.3,5.8,7.8,21.3,1.3,Basil
72,25,60,22.8,50.3,6.3,5.0,21.2,0.6,Basil
95,39,64,23.2,61.4,5.7,8.4,23.0,1.3,Basil
76,46,61,25.1,54.6,6.3,5.9,26.4,1.9,Basil
76,26,45,26.3,55.9,6.1,9.8,21.9,0.7,Basil
74,29,50,23.7,60.8,6.4,8.5,19.5,1.4,Basil
85,28,55,28.8,68.1,6.3,6.2,18.5,1.9,Basil
100,35,52,25.5,53.5,6.4,6.7,26.1,1.8,Basil
77,35,41,28.3,59.8,5.6,7.2,21.2,1.4,Basil
97,40,42,23.9,58.6,6.5,6.2,20.9,1.8,Basil
100,30,57,22.5,53.9,5.6,8.0,20.4,1.6,Basil
81,34,48,23.5,56.6,5.6,5.6,23.9,1.3,Basil
78,44,46,24.4,59.9,6.2,6.3,20.8,0.8,Basil
89,44,58,28.9,62.4,6.1,6.0,21.1,1.0,Basil
109,42,54,27.6,69.1,5.7,7.8,19.8,1.6,Basil
100,37,41,24.6,65.3,5.8,7.0,22.7,1.7,Basil
86,41,60,24.1,54.3,6.0,8.6,23.9,1.8,Basil
108,39,64,28.2,51.5,5.7,7.4,19.0,1.9,Basil
93,33,40,22.2,54.2,6.4,6.1,26.3,1.1,Basil
104,43,44,27.1,67.3,6.5,7.1,27.5,2.0,Basil
101,26,64,29.5,58.0,5.6,8.7,24.5,0.7,Basil
102,26,62,23.6,56.0,6.3,6.9,22.1,1.4,Basil
93,39,42,25.2,52.3,6.0,7.7,26.6,0.8,Basil
88,47,67,24.8,59.4,6.3,6.1,21.7,1.5,Basil
105,25,54,24.2,51.9,5.6,6.4,22.6,1.1,Basil
81,46,55,20.9,69.8,5.9,9.4,20.3,0.8,Basil
80,40,68,28.3,55.4,6.0,5.9,23.4,1.9,Basil
90,44,48,21.9,55.0,6.2,6.8,20.6,1.1,Basil
76,32,43,22.8,63.8,6.3,8.4,26.5,1.9,Basil
102,37,43,26.5,66.2,6.5,8.5,19.2,0.9,Basil
85,48,57,27.7,51.5,6.4,8.8,22.3,1.3,Basil
77,30,48,27.0,65.0,6.4,8.4,18.6,1.2,Basil
101,32,66,28.1,52.6,6.5,5.9,24.9,1.0,Basil
92,27,68,21.3,57.6,5.6,5.1,21.4,1.3,Basil
86,45,40,26.0,56.2,5.8,7.6,25.4,1.9,Basil
77,27,41,25.9,61.5,6.2,8.9,27.4,1.0,Basil
82,46,40,20.5,53.8,6.2,9.3,22.2,1.8,Basil
