N,P,K,temperature,humidity,ph,rainfall,yield,risk
96,29,63,19.62,58.91,5.96,218,4.81,Low
106,40,22,31.14,89.35,6.01,255,4.97,Medium
66,24,44,25.73,65.64,6.77,217,3.97,Low
66,53,60,27.09,86.09,5.6,275,5.22,High
101,66,21,27.73,61.78,6.72,147,4.49,Low
55,64,70,29.4,84.95,5.72,236,5.18,High
98,40,28,30.06,82.07,5.92,176,4.47,Medium
75,77,47,21.94,77.03,7.08,90,4.54,Low
67,44,69,21.45,81.31,7.06,257,5.1,Low
98,46,23,19.98,51.96,7.09,246,4.53,Low
85,80,31,29.87,82.86,6.68,257,5.38,Medium
66,40,31,26.25,86.45,6.98,103,3.66,Low
70,61,73,23.62,74.72,5.6,171,5.0,High
100,51,35,33.09,88.68,6.28,212,5.05,High
63,75,28,32.86,63.64,7.08,146,4.13,High
80,59,54,31.31,51.22,7.45,212,4.79,High
99,27,25,28.92,79.25,6.53,171,4.16,Medium
59,57,68,27.45,78.99,5.7,243,5.07,High
67,30,57,30.97,64.81,6.76,173,4.08,Medium
60,31,27,23.52,72.18,6.94,284,4.11,Low
104,65,51,18.07,69.21,7.35,85,4.78,High
120,78,71,33.07,81.97,6.1,157,6.09,High
87,27,67,32.91,81.52,5.71,110,4.38,High
60,77,55,23.17,89.56,5.51,209,5.14,High
115,37,30,22.33,78.03,6.71,194,4.78,Low
115,54,63,23.86,50.48,5.96,106,4.9,Low
68,20,38,23.54,80.47,5.84,283,4.32,Low
65,68,78,28.97,57.35,6.61,121,4.7,Medium
87,48,73,20.01,68.88,6.25,179,5.05,Low
51,26,22,33.55,50.91,6.65,271,3.51,High
60,61,42,25.13,75.19,5.56,217,4.55,High
119,38,27,28.34,86.83,6.82,199,4.93,Medium
51,22,51,29.86,67.87,7.21,228,3.89,High
108,22,46,20.79,86.81,6.82,253,5.07,Low
120,76,67,27.93,80.12,6.02,241,6.39,Low
84,60,51,25.99,56.52,7.47,87,4.25,High
105,50,39,28.44,71.37,6.55,174,4.82,Medium
109,24,43,18.74,78.92,6.99,232,4.88,Low
53,33,60,19.9,67.86,7.4,246,4.34,High
62,59,59,20.62,71.56,6.03,249,4.96,Low
75,80,44,22.63,77.28,6.94,297,5.57,Low
75,52,23,28.51,81.15,5.6,129,3.96,High
50,67,46,26.38,53.88,5.72,232,4.42,High
93,71,79,28.04,72.43,5.58,248,6.01,High
117,57,24,22.36,89.14,7.46,165,5.02,High
61,32,78,33.67,83.94,6.39,137,4.37,High
89,29,46,19.04,72.48,5.9,183,4.37,Low
57,78,22,23.51,64.93,6.29,262,4.58,Low
66,63,42,21.59,54.12,6.92,104,3.91,Low
96,42,61,30.82,66.92,7.46,99,4.48,High
74,27,80,26.73,84.58,6.16,126,4.49,Low
113,47,61,21.11,72.7,6.34,293,5.88,Low
58,36,20,33.42,68.26,6.33,293,4.05,High
88,38,77,19.23,68.81,5.69,80,4.47,High
84,73,47,21.05,54.23,5.64,177,4.83,High
96,76,22,22.39,55.65,7.17,192,4.75,Low
100,33,58,26.19,55.18,6.77,272,5.1,Low
88,62,79,30.61,72.77,6.9,181,5.45,Medium
72,37,74,18.74,71.42,6.43,99,4.26,Low
107,78,67,21.05,84.19,5.57,281,6.45,High
77,58,69,27.79,85.47,7.06,246,5.48,Low
58,20,37,21.19,58.95,7.39,201,3.51,High
67,41,30,34.05,74.98,6.56,249,4.29,High
79,56,44,19.19,82.85,7.18,126,4.44,Low
87,21,34,25.52,89.91,6.24,218,4.36,Low
82,74,49,28.99,80.92,7.32,136,4.91,High
60,72,48,32.34,60.18,7.46,131,4.26,High
76,23,28,34.08,50.57,6.9,226,3.75,High
70,32,37,23.96,75.02,6.93,182,3.98,Low
91,53,76,30.73,66.46,6.11,114,4.9,Medium
111,66,33,19.51,71.11,5.67,262,5.52,High
115,64,74,34.71,50.5,5.86,111,5.28,High
117,37,79,29.47,60.27,7.25,117,5.07,High
78,62,49,23.28,65.14,6.0,102,4.31,Low
80,44,30,28.71,76.1,5.68,268,4.67,High
54,56,43,30.86,69.56,6.05,206,4.28,Medium
94,54,77,28.31,72.83,6.84,114,5.05,Medium
68,33,67,20.9,56.7,6.58,104,3.89,Low
59,64,45,20.39,61.99,6.08,299,4.91,Low
86,33,75,29.23,54.48,6.25,154,4.55,Medium
78,32,49,24.68,67.77,6.51,223,4.44,Low
52,68,58,33.46,63.75,6.91,213,4.67,High
81,58,31,21.48,79.4,5.96,171,4.48,Low
104,31,75,26.79,77.59,6.44,161,5.08,Low
105,42,57,30.27,73.98,7.39,203,5.15,High
103,43,23,28.06,72.77,6.25,294,5.01,Medium
64,20,39,33.86,88.45,7.28,83,3.35,High
80,52,76,25.57,84.97,6.23,101,4.82,Low
97,34,32,24.4,61.12,6.28,150,4.08,Low
65,67,75,33.89,79.84,7.39,299,5.74,High
75,78,75,20.86,81.13,5.99,126,5.24,Low
65,68,75,27.08,60.44,7.43,207,5.11,High
118,54,30,33.87,53.08,6.87,280,5.3,High
104,29,74,18.1,81.11,6.64,98,4.75,Low
60,76,63,31.02,53.35,7.36,174,4.72,High
80,45,38,23.11,61.25,6.07,150,4.08,Low
89,58,66,28.92,55.65,7.27,267,5.44,High
66,68,41,20.44,81.36,6.75,211,4.79,Low
67,36,44,25.41,63.75,6.66,114,3.66,Low
52,67,24,19.1,53.32,7.11,114,3.49,Low
50,76,34,29.32,54.27,6.83,112,3.77,Medium
83,75,64,23.65,61.35,5.52,221,5.42,High
104,47,66,20.86,55.8,5.88,236,5.35,Low
52,66,72,34.9,58.67,6.33,124,4.37,High
80,23,20,19.54,73.33,6.27,284,4.2,Low
99,32,34,27.6,85.71,6.3,127,4.24,Low
84,39,43,27.79,71.94,5.59,251,4.74,High
52,56,72,29.67,59.4,6.22,155,4.37,Medium
79,52,51,34.0,62.16,6.95,228,4.79,High
90,62,55,20.82,83.08,6.79,283,5.7,Low
116,37,30,22.84,62.03,6.54,108,4.21,Low
87,46,47,32.99,74.92,7.45,209,4.79,High
69,36,20,19.46,67.0,6.08,119,3.35,Low
63,55,39,20.45,63.69,6.48,261,4.56,Low
79,75,40,22.32,87.37,5.57,281,5.51,High
101,51,46,18.38,88.0,5.62,242,5.39,High
114,62,20,27.49,56.16,6.04,83,4.24,Low
98,50,68,32.8,80.68,5.55,157,5.19,High
69,22,26,32.47,70.08,5.54,200,3.65,High
106,50,28,28.14,53.67,6.1,94,4.07,Medium
76,30,64,30.96,72.86,6.47,290,5.01,Medium
99,22,34,32.82,76.42,5.53,137,4.03,High
118,65,72,30.78,77.17,5.9,183,5.94,Medium
67,54,37,24.1,75.95,6.81,130,4.04,Low
112,65,54,28.67,56.57,6.73,250,5.67,Medium
60,35,65,18.65,58.14,7.09,105,3.77,Low
54,57,59,25.47,60.71,6.9,222,4.55,Low
70,26,35,34.48,88.93,5.58,154,3.84,High
99,52,77,24.28,88.22,7.41,86,5.11,High
67,75,48,19.02,85.86,6.76,161,4.83,Low
101,23,73,23.03,65.37,6.43,274,5.31,Low
88,64,55,25.17,54.96,7.03,127,4.63,Low
77,61,41,19.1,70.73,6.98,103,4.21,Low
111,58,69,18.05,66.03,6.44,287,6.06,Low
108,72,48,28.47,61.0,6.01,103,4.92,Medium
91,79,35,26.39,86.59,6.48,219,5.38,Low
100,64,72,23.99,54.79,5.87,236,5.66,Low
59,79,52,24.46,57.74,7.17,96,4.22,Low
111,69,55,27.53,52.8,5.85,143,5.16,Low
111,70,39,32.25,84.91,6.58,113,5.08,High
74,28,31,18.56,71.65,6.22,165,3.76,Low
103,72,53,33.69,81.74,7.28,221,5.72,High
111,57,52,31.41,51.49,5.76,190,5.13,High
59,31,34,28.58,73.84,7.27,83,3.22,High
84,76,53,29.87,79.21,5.64,113,4.91,High
66,30,51,27.83,65.55,5.64,248,4.35,High
70,47,45,32.02,59.32,7.05,229,4.44,High
68,25,61,24.79,73.91,6.11,99,3.8,Low
102,49,36,34.36,50.23,6.75,200,4.62,High
62,37,48,25.91,76.03,6.25,101,3.72,Low
63,23,34,23.49,89.99,5.56,134,3.57,High
91,77,52,28.73,70.84,6.94,153,5.14,Medium
96,64,32,22.94,85.28,6.06,298,5.54,Low
110,68,66,21.18,61.53,5.93,194,5.65,Low
62,47,75,23.66,74.2,5.79,249,5.05,High
74,47,37,25.79,83.35,5.85,250,4.72,Low
70,59,50,32.45,58.08,5.82,156,4.34,High
70,71,77,20.15,72.9,6.89,229,5.51,Low
89,75,22,29.17,54.36,7.4,268,4.98,High
71,50,57,18.24,82.21,5.89,114,4.36,Low
118,75,33,32.75,88.24,5.55,133,5.31,High
61,52,54,30.01,56.48,6.73,229,4.49,Medium
101,75,29,18.68,55.89,6.63,230,5.13,Low
84,75,77,33.02,74.77,6.41,199,5.68,High
59,57,28,25.85,68.33,6.33,208,4.12,Low
108,33,70,34.58,59.39,5.6,242,5.32,High
50,48,21,33.08,74.58,6.56,235,3.9,High
75,28,24,33.31,75.19,6.02,203,3.88,High
91,26,50,18.81,65.72,6.31,132,4.1,Low
119,50,57,31.15,74.86,5.8,88,4.96,Medium
76,80,77,30.09,50.18,7.3,121,4.99,High
106,22,70,22.47,56.5,5.87,290,5.31,Low
90,80,79,20.32,54.31,5.67,216,5.77,High
106,46,66,32.52,74.37,7.3,248,5.62,High
85,31,23,25.95,73.92,7.43,209,4.1,High
108,54,56,27.98,63.26,7.06,246,5.5,Low
79,64,23,34.15,88.74,6.68,239,4.85,High
94,69,58,22.36,50.24,5.98,149,4.93,Low
86,32,56,30.01,51.01,5.8,159,4.21,Medium
51,67,65,27.87,58.54,6.54,237,4.82,Low
102,30,35,19.14,81.99,6.25,227,4.74,Low
79,48,36,22.36,77.87,6.27,256,4.78,Low
90,70,67,20.99,53.54,6.59,87,4.75,Low
90,52,23,33.92,66.93,6.1,222,4.53,High
62,22,22,19.51,61.22,5.93,149,3.12,Low
64,74,35,25.89,88.05,7.3,171,4.62,High
97,52,34,25.18,75.82,6.52,209,4.85,Low
113,63,33,30.11,81.25,6.74,294,5.77,Medium
81,26,67,29.2,72.1,5.73,201,4.63,High
54,64,73,31.15,63.81,7.05,233,4.99,Medium
85,23,44,20.3,67.89,6.43,189,4.16,Low
98,56,50,33.82,73.83,7.1,107,4.67,High
54,54,50,30.39,74.6,6.85,109,3.92,Medium
86,68,56,19.93,70.09,6.66,284,5.62,Low
59,62,59,25.24,81.66,7.5,137,4.5,High
104,80,65,25.62,82.05,5.54,188,5.91,High
68,39,57,32.97,82.42,7.16,112,4.12,High
90,28,54,26.4,72.34,7.05,167,4.43,Low
94,79,78,26.38,87.22,6.98,133,5.72,Low
106,48,76,18.01,79.98,5.53,269,5.98,High
98,67,49,28.47,76.94,5.56,122,4.95,High
105,64,33,34.74,64.4,6.61,203,5.03,High
63,52,24,32.16,60.4,7.0,166,3.75,High
90,67,38,31.15,66.39,6.29,224,5.03,Medium
103,57,54,27.01,64.39,6.02,158,5.0,Low
98,44,37,31.53,62.87,6.95,261,4.92,Medium
99,34,22,31.79,78.54,5.98,122,3.98,Medium
54,58,44,33.37,85.42,6.53,278,4.84,High
66,53,80,27.3,66.43,5.76,173,4.85,High
87,51,73,23.67,65.21,6.46,276,5.55,Low
109,35,80,26.76,70.96,5.74,112,5.0,High
109,33,22,19.54,76.12,6.89,180,4.39,Low
99,40,48,30.68,83.08,6.96,233,5.11,Medium
102,33,67,34.29,54.3,6.38,228,5.05,High
93,65,55,28.47,71.17,5.94,242,5.47,Medium
86,68,63,31.96,60.97,6.07,223,5.34,Medium
89,62,79,18.22,82.09,5.53,297,6.14,High
75,67,44,26.5,75.48,6.44,230,5.0,Low
76,38,62,33.08,89.84,5.76,263,5.15,High
117,78,30,21.5,79.0,6.18,120,5.14,Low
73,46,44,25.13,71.49,6.11,150,4.18,Low
119,35,68,19.52,74.26,6.84,240,5.64,Low
96,66,56,27.61,75.92,6.62,127,5.03,Low
66,35,35,34.25,87.86,7.3,260,4.45,High
69,22,56,31.73,65.38,7.34,137,3.79,High
69,25,59,22.05,70.15,5.59,244,4.47,High
95,77,22,18.29,75.26,7.28,131,4.64,High
72,58,45,30.6,59.48,5.67,243,4.73,High
119,27,28,18.99,83.57,7.13,242,4.95,Low
63,45,37,22.36,87.08,6.87,292,4.75,Low
72,30,67,25.51,75.28,6.47,214,4.64,Low
78,74,52,22.48,79.23,5.92,274,5.56,Low
119,32,52,28.55,66.16,7.22,207,5.08,High
105,72,64,24.6,73.23,6.32,91,5.2,Low
55,56,42,33.37,56.18,6.35,185,4.04,High
63,41,55,28.64,70.9,6.18,185,4.28,Medium
55,22,39,26.6,83.69,5.99,225,3.9,Low
99,45,63,27.39,68.31,5.58,106,4.66,High
103,27,37,32.68,83.79,7.31,171,4.48,High
98,36,53,19.06,79.58,6.32,204,4.93,Low
113,38,79,19.8,61.88,6.9,290,5.9,Low
65,32,78,29.69,87.89,5.72,119,4.39,High
82,24,21,19.25,80.88,6.38,82,3.34,Low
118,32,69,33.62,53.94,6.41,266,5.52,High
77,41,68,18.86,81.07,6.03,283,5.33,Low
114,33,76,20.22,88.43,6.15,92,5.06,Low
107,20,36,30.89,61.83,5.93,263,4.65,Medium
106,70,66,26.89,67.56,6.83,200,5.71,Low
57,36,59,26.81,74.81,7.02,249,4.53,Low
97,60,55,33.8,80.95,7.37,215,5.42,High
119,45,22,25.12,89.99,7.2,256,5.28,Low
88,73,72,32.62,83.56,7.46,84,5.14,High
56,68,47,20.48,75.87,6.85,206,4.64,Low
59,23,47,27.29,50.05,6.6,232,3.81,Low
58,25,76,21.18,76.19,7.08,235,4.59,Low
118,64,31,20.05,65.68,6.15,134,4.88,Low
114,24,75,30.08,82.68,7.17,167,5.21,Medium
58,67,75,29.18,84.2,5.52,193,5.14,High
110,25,57,32.76,79.99,6.6,88,4.44,High
100,47,28,31.6,85.94,7.33,247,5.01,High
105,20,77,20.14,79.34,7.43,268,5.5,High
99,67,23,19.34,70.28,5.53,105,4.38,High
85,28,74,20.78,68.0,5.78,189,4.74,High
60,26,55,18.67,62.29,7.28,175,3.85,High
67,48,52,19.61,79.3,7.13,267,4.91,Low
84,30,61,22.6,84.61,6.08,182,4.67,Low
59,38,20,21.74,69.39,6.69,106,3.17,Low
53,67,60,33.67,85.81,6.24,101,4.36,High
86,71,26,18.5,75.84,7.38,190,4.76,High
71,26,73,33.56,87.52,7.01,82,4.12,High
120,41,59,29.17,60.95,6.75,84,4.7,Medium
66,24,27,30.5,79.33,6.94,103,3.26,Medium
107,41,55,24.38,88.94,6.81,251,5.53,Low
112,30,32,21.51,77.6,7.2,253,4.94,Low
85,55,71,26.07,89.87,6.08,295,5.89,Low
117,36,52,27.37,78.89,5.88,260,5.51,Low
96,34,61,29.03,89.55,6.62,91,4.53,Medium
53,59,76,20.22,81.3,5.97,151,4.7,Low
117,49,47,27.15,69.81,5.88,145,4.97,Low
62,34,69,32.87,75.07,6.38,170,4.35,High
108,71,24,21.51,56.75,6.73,261,5.26,Low
110,34,25,18.66,55.52,6.11,115,3.95,Low
102,75,49,31.18,76.6,5.99,198,5.52,Medium
102,56,79,18.82,60.09,6.29,120,5.15,Low
103,61,52,27.69,70.18,7.25,212,5.36,High
60,68,22,32.12,58.36,6.1,229,4.23,High
52,45,48,26.0,66.45,6.62,84,3.5,Low
98,33,32,25.23,80.24,6.19,108,4.06,Low
76,57,68,26.56,82.39,6.17,138,4.86,Low
52,50,74,20.1,85.21,6.74,175,4.66,Low
57,35,47,19.07,53.14,6.36,155,3.62,Low
92,54,50,27.7,84.3,6.76,129,4.75,Low
93,38,70,18.1,77.61,6.85,174,5.0,Low
89,20,28,23.15,53.08,7.27,189,3.76,High
57,32,51,19.95,75.19,7.12,261,4.39,Low
93,28,78,32.66,79.23,6.24,235,5.28,High
112,42,42,24.37,78.47,6.54,253,5.32,Low
51,27,41,22.63,74.93,6.95,124,3.35,Low
84,55,64,24.17,89.57,5.89,259,5.57,Low
113,27,22,25.58,68.78,5.52,151,4.14,High
61,64,76,20.4,75.65,5.84,281,5.51,Low
68,61,59,18.41,82.98,6.17,80,4.36,Low
84,23,22,32.02,59.48,6.43,213,3.81,High
109,60,60,23.08,71.31,7.16,217,5.61,Low
114,25,66,27.51,88.93,6.69,106,4.84,Low
99,64,34,30.38,65.23,6.27,221,5.04,Medium
112,58,39,19.37,65.48,7.07,192,5.1,Low
61,56,40,21.01,60.57,5.98,168,4.06,Low
70,23,66,26.46,86.63,6.31,118,4.11,Low
69,59,37,28.97,81.83,6.37,245,4.79,Medium
61,45,49,28.32,64.71,6.67,102,3.74,Medium
90,43,73,27.26,71.47,7.13,128,4.79,Low
84,76,59,18.33,74.2,7.39,294,5.86,High
59,54,36,25.11,87.14,6.14,97,3.84,Low
53,51,24,22.97,59.78,6.4,191,3.69,Low
107,52,79,33.26,84.73,7.08,118,5.4,High
99,59,38,25.53,78.1,5.92,225,5.17,Low
117,28,40,22.55,70.02,5.9,234,4.95,Low
67,46,61,20.91,88.54,5.53,255,5.06,High
76,47,34,20.15,85.73,6.26,171,4.33,Low
102,38,54,20.22,88.08,6.23,105,4.64,Low
74,74,67,23.88,72.89,6.59,184,5.23,Low
120,28,43,20.29,85.27,7.07,167,4.87,Low
94,50,29,24.66,61.92,6.29,111,4.06,Low
84,69,44,23.05,81.27,5.54,89,4.54,High
82,79,42,25.06,76.31,7.43,215,5.22,High
96,47,23,18.87,70.37,7.04,162,4.28,Low
73,20,37,31.64,82.5,5.8,112,3.55,Medium
116,77,61,22.85,76.33,5.95,239,6.19,Low
74,20,65,26.48,78.94,7.5,183,4.35,High
58,50,35,28.6,85.85,6.75,292,4.7,Medium
57,24,55,34.45,60.85,5.83,132,3.54,High
60,38,57,30.69,83.8,6.37,288,4.86,Medium
93,58,41,18.11,70.22,6.45,139,4.6,Low
101,61,68,28.42,64.12,5.54,233,5.64,High
117,34,60,30.13,74.84,6.26,240,5.47,Medium
68,28,40,28.71,85.13,7.27,271,4.47,High
107,32,28,32.35,71.75,6.26,220,4.6,High
99,37,61,31.57,88.89,5.93,82,4.58,Medium
108,53,55,23.15,51.25,6.9,94,4.58,Low
106,52,46,33.97,56.93,6.5,271,5.32,High
89,59,64,30.74,53.98,6.19,184,4.99,Medium
65,32,21,23.76,85.58,5.6,270,4.17,High
60,44,34,34.09,53.27,5.64,151,3.59,High
96,31,54,24.11,50.49,7.0,270,4.87,Low
115,55,61,31.09,64.95,6.78,245,5.72,Medium
99,44,44,26.5,81.99,6.31,212,5.0,Low
63,77,28,22.23,72.05,6.87,182,4.43,Low
80,76,75,20.22,81.18,6.29,122,5.27,Low
75,46,46,32.51,86.31,6.51,246,4.88,High
86,24,36,34.64,50.84,5.57,268,4.28,High
74,74,72,29.19,65.21,6.81,102,4.83,Medium
73,69,65,25.53,70.29,5.86,157,4.94,Low
54,67,28,26.48,80.36,6.8,103,3.8,Low
51,72,22,30.66,82.15,7.35,279,4.63,High
109,52,77,34.0,79.64,5.72,157,5.55,High
80,59,56,30.16,51.89,7.11,92,4.23,Medium
82,65,45,31.11,73.36,5.73,252,5.19,High
63,62,44,26.0,78.71,6.92,290,5.05,Low
107,23,74,23.61,84.36,7.17,181,5.15,Low
63,21,30,24.81,88.67,6.94,194,3.76,Low
94,56,41,30.59,84.97,6.63,161,4.84,Medium
68,62,54,21.54,70.15,7.49,151,4.52,High
62,59,27,23.98,61.68,7.24,234,4.25,High
60,30,25,33.38,81.41,5.92,229,3.88,High
58,63,65,34.97,55.07,6.49,108,4.19,High
82,71,33,33.43,67.76,7.19,299,5.27,High
104,32,28,22.35,66.64,5.76,180,4.3,High
74,70,51,19.19,53.5,5.84,287,5.22,Low
101,57,49,21.97,82.66,6.72,130,4.93,Low
83,39,33,27.03,85.61,7.19,101,3.94,Low
107,40,62,21.39,50.09,7.08,119,4.58,Low
73,73,41,33.61,54.04,7.42,297,5.14,High
109,72,24,28.2,53.1,6.8,119,4.54,Medium
54,41,30,19.17,89.38,6.14,112,3.54,Low
117,35,49,25.6,64.25,7.18,281,5.4,Low
113,70,58,25.45,58.4,6.69,148,5.34,Low
50,35,46,27.54,80.47,6.86,298,4.48,Low
72,28,32,22.6,51.25,6.36,166,3.54,Low
103,61,56,20.51,76.69,7.07,124,5.05,Low
119,25,41,32.33,80.56,6.49,140,4.59,High
57,68,77,19.92,68.27,5.99,232,5.21,Low
92,59,78,27.02,75.23,6.92,145,5.29,Low
68,46,43,32.95,83.61,6.0,179,4.35,High
56,42,52,19.64,89.39,7.28,291,4.85,High
69,75,50,28.24,68.93,5.82,199,4.92,Medium
79,28,54,33.6,71.3,6.24,179,4.29,High
79,32,59,21.01,51.31,5.52,284,4.77,High
76,25,25,28.46,65.76,6.28,160,3.56,Medium
60,26,77,28.26,52.83,6.0,248,4.48,Medium
65,52,49,24.41,57.58,7.15,184,4.26,Low
118,34,46,31.35,89.01,6.59,225,5.32,Medium
51,25,44,22.39,67.72,5.68,103,3.19,High
119,36,46,23.74,52.83,6.23,266,5.21,Low
90,57,40,32.48,70.33,7.11,143,4.53,High
62,27,52,25.99,56.06,6.21,207,3.95,Low
86,33,55,19.38,54.42,7.39,165,4.27,High
79,48,51,34.18,56.44,7.43,192,4.49,High
97,30,36,34.99,59.8,6.62,271,4.67,High
93,59,73,28.29,59.19,7.19,264,5.66,Medium
115,41,40,19.71,54.47,6.31,141,4.52,Low
80,22,79,26.77,61.64,5.99,170,4.48,Low
95,61,62,31.3,87.68,6.16,279,5.91,Medium
97,64,38,32.08,77.13,7.21,118,4.68,High
104,30,22,21.88,79.18,6.41,120,3.99,Low
51,33,63,24.43,81.89,6.47,208,4.31,Low
106,33,34,26.43,83.28,6.4,175,4.59,Low
64,80,30,20.28,88.83,5.51,203,4.8,High
101,45,37,25.31,57.16,7.37,239,4.82,High
87,68,54,22.29,50.22,6.08,159,4.78,Low
106,45,31,31.79,63.5,5.8,274,5.04,Medium
96,21,44,22.57,55.19,5.92,98,3.73,Low
56,23,51,19.18,62.34,6.64,100,3.29,Low
80,75,55,26.7,85.34,6.02,183,5.27,Low
69,26,57,28.19,86.38,6.55,110,3.95,Medium
80,49,27,20.12,57.0,5.76,224,4.29,High
56,22,35,22.8,65.07,7.31,179,3.43,High
106,39,30,22.69,86.38,7.36,257,5.07,High
77,30,69,20.44,66.37,6.82,220,4.7,Low
77,73,47,19.82,58.08,6.33,130,4.51,Low
119,21,46,23.89,85.31,6.54,227,5.09,Low
112,22,59,23.28,82.66,7.1,246,5.27,Low
90,62,44,18.17,58.63,6.67,266,5.18,Low
70,34,39,28.43,75.53,5.83,98,3.63,Medium
54,27,54,18.56,53.59,5.69,125,3.41,High
81,78,48,31.37,84.46,5.72,217,5.38,High
94,55,37,21.02,82.01,7.42,193,4.89,High
86,25,47,32.16,76.18,6.57,201,4.4,High
75,55,47,29.36,62.04,7.36,288,5.01,High
87,27,71,23.25,75.47,5.69,138,4.53,High
114,41,52,20.55,86.34,5.6,300,5.81,High
58,53,67,27.75,63.35,6.42,180,4.5,Low
83,22,54,27.54,73.97,6.32,117,3.97,Low
101,59,46,23.48,50.56,6.1,181,4.84,Low
117,51,27,23.46,71.72,5.58,201,4.97,High
51,62,70,18.74,74.49,6.39,200,4.79,Low
68,23,34,27.81,77.96,6.89,101,3.37,Low
72,24,24,28.02,87.56,6.77,150,3.63,Medium
110,53,54,24.64,78.22,5.94,147,5.13,Low
67,63,72,20.51,85.75,6.39,94,4.69,Low
68,64,38,18.34,79.08,6.47,292,5.08,Low
58,74,30,28.79,84.17,6.28,196,4.52,Medium
96,78,54,25.18,63.22,6.31,205,5.46,Low
68,24,76,33.04,53.66,5.62,185,4.26,High
55,45,22,20.18,66.21,6.78,198,3.69,Low
108,27,32,34.71,56.09,6.24,194,4.31,High
97,43,64,28.55,77.69,7.0,103,4.69,Medium
110,30,33,21.67,59.56,6.78,247,4.71,Low
59,62,78,23.02,88.73,6.05,171,5.06,Low
91,48,65,29.49,75.31,5.93,281,5.56,Medium
54,59,42,33.31,76.69,7.19,274,4.72,High
103,70,74,24.47,81.6,6.23,155,5.71,Low
66,47,31,21.81,76.83,6.35,280,4.57,Low
67,36,74,31.0,89.62,6.94,87,4.28,Medium
89,68,27,34.7,66.9,6.62,289,5.18,High
61,64,20,25.21,78.13,6.53,158,3.99,Low
105,39,75,18.99,68.24,6.15,129,4.98,Low
117,29,78,32.05,58.58,6.89,251,5.57,High
72,67,44,33.87,87.29,5.77,143,4.64,High
107,23,73,20.07,80.4,5.87,284,5.61,Low
77,33,45,30.03,77.74,6.9,232,4.52,Medium
117,36,37,22.81,57.22,5.74,94,4.21,High
80,51,23,18.81,85.81,5.71,263,4.74,High
99,49,70,28.35,70.93,6.05,138,5.03,Medium
70,57,20,26.21,55.76,7.34,177,3.89,High
76,40,45,31.25,66.9,5.86,174,4.22,Medium
108,54,23,26.69,77.83,6.12,267,5.2,Low
112,68,23,28.36,85.8,5.54,178,5.13,High
102,75,74,27.84,67.66,5.7,102,5.37,High
74,29,60,33.45,64.56,6.66,207,4.4,High
115,67,54,24.06,75.36,7.16,217,5.77,Low
78,46,29,29.11,73.6,6.7,133,3.95,Medium
78,71,42,21.33,51.51,6.53,249,4.94,Low
76,34,79,19.31,65.35,6.67,223,4.92,Low
52,63,31,28.67,74.92,6.96,272,4.54,Medium
110,57,29,29.16,77.0,7.13,209,5.08,Medium
57,30,66,30.87,55.31,6.3,81,3.51,Medium
108,55,29,23.1,65.1,5.91,298,5.34,Low
101,30,73,25.5,52.56,6.89,276,5.31,Low
93,70,45,20.13,57.98,5.65,163,4.86,High
