N,P,K,temperature,humidity,ph,rainfall,health
94,104,110,23.8,28.3,6.8,60.3,Warning
50,96,153,43.1,75.9,5.6,221.9,Dangerous
36,113,5,23.4,30.6,6.2,247.6,Warning
11,139,126,31.3,39.3,4.1,277.0,Dangerous
0,22,180,16.4,22.3,8.6,280.4,Dangerous
23,116,143,17.2,39.1,7.7,173.0,Warning
69,78,82,13.1,42.3,6.3,135.2,Dangerous
106,119,155,37.9,67.2,5.7,173.9,Warning
108,99,0,13.7,79.4,5.0,35.7,Dangerous
19,139,138,30.3,51.1,8.7,79.5,Dangerous
56,13,93,43.6,70.5,8.2,83.7,Dangerous
123,124,81,15.3,67.9,5.1,293.3,Dangerous
14,84,96,26.3,29.5,6.2,267.6,Warning
46,104,111,39.7,56.9,8.0,69.1,Dangerous
101,108,196,34.7,42.0,8.0,245.2,Warning
28,45,74,30.0,52.0,7.7,103.9,Warning
122,53,168,35.4,45.6,8.7,133.0,Dangerous
28,81,134,40.9,82.4,8.0,202.5,Dangerous
111,136,196,30.6,67.3,7.7,110.0,Warning
69,17,187,30.2,77.3,7.3,215.0,Warning
127,69,162,30.1,41.2,5.6,225.3,Warning
115,138,128,14.8,32.1,7.7,127.0,Dangerous
18,78,167,15.6,45.2,7.0,215.4,Warning
103,107,0,21.5,42.7,8.4,277.5,Dangerous
32,39,75,36.6,97.7,8.3,160.0,Dangerous
18,131,103,15.6,58.8,6.1,264.3,Warning
39,11,75,22.0,33.0,5.2,88.1,Dangerous
63,75,6,18.3,29.2,7.1,192.0,Warning
68,37,158,31.7,79.0,7.6,73.7,Warning
5,84,29,19.6,68.4,5.0,131.3,Dangerous
50,100,162,31.7,42.8,8.1,273.4,Dangerous
43,28,150,14.4,95.6,4.1,50.9,Dangerous
124,114,95,44.3,27.1,6.9,260.5,Dangerous
115,13,116,23.0,58.6,6.3,38.9,Warning
18,25,86,39.5,85.3,7.4,58.1,Dangerous
134,95,178,31.5,50.7,5.2,264.0,Dangerous
92,76,140,28.1,32.4,8.7,74.9,Dangerous
121,109,148,23.4,60.1,4.4,64.5,Dangerous
60,25,121,12.2,89.3,5.3,51.8,Dangerous
31,49,153,31.8,81.5,7.7,94.8,Warning
36,30,7,10.3,95.6,5.8,20.1,Dangerous
17,86,137,35.7,36.7,7.5,147.2,Warning
63,82,143,17.2,90.8,9.0,94.9,Dangerous
69,92,131,34.4,43.2,5.8,38.4,Warning
28,141,10,33.3,73.0,6.1,237.2,Warning
10,97,30,10.5,55.4,8.7,231.0,Dangerous
92,53,152,25.8,56.2,4.7,159.3,Dangerous
5,13,111,35.9,98.6,4.2,124.4,Dangerous
80,28,183,25.7,31.7,6.8,54.1,Warning
111,11,202,21.0,55.8,6.1,164.8,Warning
122,44,159,13.7,57.1,6.9,290.4,Dangerous
119,145,127,29.5,87.8,7.5,243.9,Healthy
73,19,129,11.6,87.7,6.8,171.7,Dangerous
9,55,84,26.4,35.0,8.1,189.2,Dangerous
97,118,78,13.6,67.5,7.3,234.4,Dangerous
9,13,85,15.9,20.2,8.8,221.8,Dangerous
19,43,204,41.8,69.8,5.8,236.7,Dangerous
96,102,143,36.0,53.0,6.4,291.2,Warning
63,116,161,34.3,48.4,8.2,112.1,Dangerous
17,45,125,15.2,28.1,5.7,165.6,Warning
55,130,160,19.4,81.9,8.8,221.0,Dangerous
132,18,37,31.1,56.5,8.1,35.3,Dangerous
86,43,45,26.6,98.9,8.4,84.4,Dangerous
53,27,117,15.0,52.9,7.8,179.6,Warning
47,51,95,32.0,41.3,7.6,192.5,Warning
88,9,18,26.7,38.7,8.8,232.7,Dangerous
116,132,128,31.7,51.6,6.7,184.0,Warning
88,19,19,20.0,51.8,7.6,66.2,Warning
38,70,154,39.5,40.3,7.7,263.3,Dangerous
3,88,112,44.3,58.5,5.7,192.6,Dangerous
75,36,190,44.0,82.1,5.2,101.0,Dangerous
69,58,197,28.6,74.4,6.6,68.6,Healthy
3,19,41,14.0,67.2,4.9,245.0,Dangerous
133,54,48,26.5,73.7,7.2,200.0,Healthy
120,61,50,31.2,64.6,6.3,158.1,Warning
77,43,151,25.3,85.0,7.3,49.3,Healthy
8,139,140,27.5,20.4,8.5,245.6,Dangerous
48,121,47,21.8,20.5,6.3,298.0,Warning
139,3,148,11.7,77.8,7.8,195.4,Dangerous
66,85,76,26.9,57.7,8.6,94.8,Dangerous
94,1,51,27.6,44.1,7.5,81.0,Warning
133,98,54,33.3,61.5,5.8,244.4,Warning
26,107,11,14.5,21.7,4.7,173.6,Dangerous
3,28,33,27.3,74.0,7.8,140.3,Warning
37,119,58,16.6,90.4,5.0,22.5,Dangerous
1,75,89,13.5,44.5,4.3,87.7,Dangerous
131,14,27,11.8,38.6,8.4,77.9,Dangerous
55,25,142,26.6,52.8,8.8,198.0,Dangerous
123,115,153,16.1,99.6,9.0,167.6,Dangerous
22,0,97,40.0,35.2,8.4,61.9,Dangerous
11,105,181,43.1,53.7,4.3,221.3,Dangerous
97,8,7,21.8,81.4,7.1,135.8,Warning
103,40,37,31.7,29.9,4.4,175.4,Dangerous
83,59,45,40.5,37.3,8.4,206.9,Dangerous
137,79,70,39.1,29.2,4.9,244.7,Dangerous
99,57,46,41.0,54.6,7.6,87.3,Dangerous
55,57,93,17.0,82.5,6.9,99.3,Warning
68,99,99,34.7,56.9,6.6,296.0,Warning
79,113,133,31.3,63.4,5.4,256.0,Dangerous
114,145,203,44.7,99.2,8.1,154.9,Dangerous
118,120,183,23.8,58.5,4.6,230.6,Dangerous
66,124,177,13.7,96.3,7.3,38.5,Dangerous
134,14,19,33.3,83.3,6.9,137.2,Warning
84,3,191,38.0,24.9,4.8,59.6,Dangerous
97,65,114,33.6,22.5,6.8,119.9,Warning
128,90,92,31.2,63.3,7.9,184.6,Warning
99,140,131,36.0,24.9,5.1,253.8,Dangerous
117,63,192,39.8,44.6,4.9,205.7,Dangerous
40,133,98,21.0,24.4,5.6,30.5,Warning
71,25,35,24.8,28.7,5.6,240.9,Warning
33,20,19,12.6,98.2,6.5,93.7,Dangerous
79,18,169,42.8,50.1,7.4,269.3,Dangerous
17,42,29,23.0,25.7,4.3,165.7,Dangerous
11,134,120,33.4,91.8,5.1,151.4,Dangerous
54,59,58,33.9,68.4,4.7,178.1,Dangerous
86,81,175,33.3,45.8,5.7,38.5,Warning
30,122,130,35.5,71.7,4.8,266.0,Dangerous
134,97,29,21.0,65.0,4.0,23.7,Dangerous
84,114,127,15.2,91.9,5.7,106.3,Warning
59,133,148,24.8,85.7,5.7,57.2,Warning
53,68,50,19.6,36.0,7.4,289.9,Warning
7,127,202,32.4,83.8,6.4,53.8,Warning
138,48,51,17.2,93.5,7.4,293.2,Warning
81,40,69,27.3,99.3,4.5,187.4,Dangerous
90,138,35,18.2,89.0,7.9,88.3,Warning
126,66,75,10.5,49.4,8.7,144.7,Dangerous
39,139,68,40.2,50.3,7.9,250.3,Dangerous
67,89,71,23.1,60.3,8.5,158.8,Dangerous
133,70,73,26.0,79.7,8.2,51.0,Dangerous
116,124,6,17.9,70.1,5.6,129.2,Warning
140,68,48,44.3,55.8,8.0,125.5,Dangerous
52,2,192,33.9,82.0,7.1,257.9,Warning
53,92,197,10.9,46.0,8.9,34.4,Dangerous
75,64,89,17.0,52.6,6.8,22.3,Warning
38,43,127,40.0,42.4,5.3,278.5,Dangerous
75,86,102,25.3,85.1,8.2,164.3,Dangerous
86,97,107,38.6,37.2,8.7,214.3,Dangerous
59,142,31,17.4,23.4,8.1,131.3,Dangerous
139,111,137,12.0,57.4,7.7,160.7,Dangerous
58,16,67,24.1,29.7,4.8,113.5,Dangerous
97,107,54,29.8,78.1,6.0,46.0,Healthy
90,44,124,38.1,52.8,8.3,184.7,Dangerous
39,57,179,29.2,68.5,4.3,151.8,Dangerous
9,142,203,12.9,81.9,4.6,24.1,Dangerous
131,87,197,13.1,69.9,6.8,255.7,Dangerous
23,53,154,39.3,45.4,6.8,284.6,Dangerous
76,2,161,36.8,21.3,4.9,152.0,Dangerous
30,105,164,41.5,22.6,6.9,141.5,Dangerous
109,115,121,27.6,24.6,6.6,252.4,Warning
39,61,187,43.7,24.5,8.4,278.9,Dangerous
53,4,108,26.1,50.5,4.6,153.7,Dangerous
24,31,24,18.1,58.7,8.9,62.0,Dangerous
36,80,196,21.6,81.7,7.2,128.5,Warning
6,114,105,41.6,41.3,8.9,91.2,Dangerous
52,127,189,16.9,40.1,6.1,185.1,Warning
84,75,80,38.0,61.2,5.3,109.0,Dangerous
56,86,29,39.9,73.0,6.6,241.1,Dangerous
73,136,12,12.2,71.6,4.3,163.3,Dangerous
6,18,119,30.5,83.9,4.7,57.8,Dangerous
36,83,153,28.6,98.3,7.8,265.6,Warning
40,100,145,22.4,62.4,5.5,144.6,Warning
108,88,155,34.9,95.1,4.5,38.5,Dangerous
45,109,129,27.7,55.8,6.0,163.0,Healthy
122,83,151,30.0,92.1,7.9,115.3,Warning
27,119,35,30.4,74.4,5.8,231.5,Warning
22,41,185,26.2,34.1,6.4,296.7,Warning
123,66,141,12.0,83.4,6.9,207.9,Dangerous
1,9,43,22.2,27.9,6.4,124.6,Warning
93,92,73,31.2,74.0,4.6,237.6,Dangerous
30,65,145,38.7,53.0,4.5,30.7,Dangerous
73,125,142,17.8,98.1,8.0,287.2,Warning
106,81,80,25.2,30.9,7.1,248.3,Warning
75,17,2,12.9,53.7,6.5,212.6,Dangerous
22,63,129,16.6,54.2,5.2,111.5,Dangerous
26,103,36,35.5,20.7,6.2,84.7,Warning
116,106,68,18.0,25.9,7.7,127.7,Warning
27,3,43,30.4,46.2,5.4,299.0,Dangerous
85,43,166,25.3,60.6,7.0,70.0,Healthy
13,3,108,21.3,45.2,8.5,86.1,Dangerous
30,111,80,26.5,80.3,6.1,97.3,Warning
76,140,4,43.1,85.7,5.7,74.4,Dangerous
134,4,94,44.6,50.5,8.3,103.9,Dangerous
66,65,48,11.2,98.2,4.7,166.4,Dangerous
10,139,147,43.1,45.1,7.6,295.4,Dangerous
105,121,198,23.4,54.7,4.1,230.2,Dangerous
113,8,30,25.5,86.5,6.1,283.8,Warning
7,141,120,20.1,64.1,4.6,62.7,Dangerous
21,80,141,12.3,95.5,7.2,243.4,Dangerous
102,105,169,30.7,72.3,4.1,32.0,Dangerous
97,116,55,44.9,85.9,5.6,158.2,Dangerous
34,107,78,11.1,61.8,6.7,79.4,Dangerous
58,59,49,27.5,55.8,5.7,201.4,Warning
54,14,3,22.2,74.9,5.1,64.4,Dangerous
62,95,154,27.8,49.0,4.6,245.5,Dangerous
50,25,42,40.1,54.6,7.9,229.7,Dangerous
73,37,47,34.7,43.8,5.9,215.5,Warning
70,65,142,13.6,60.6,8.9,186.9,Dangerous
95,76,117,20.8,70.2,8.1,87.9,Dangerous
33,78,117,22.4,58.1,5.9,222.4,Warning
39,79,82,41.4,52.6,6.8,64.0,Dangerous
33,29,19,12.9,49.9,4.0,245.6,Dangerous
73,134,45,40.6,54.8,7.2,64.2,Dangerous
7,56,96,33.5,94.6,6.4,183.4,Warning
125,20,50,19.4,67.9,5.0,211.7,Dangerous
47,133,14,31.3,97.5,4.0,49.6,Dangerous
102,20,121,27.2,93.8,8.4,54.7,Dangerous
48,114,55,16.6,89.1,6.0,66.6,Warning
119,9,174,30.8,88.1,8.3,74.4,Dangerous
113,122,157,29.9,93.3,5.7,23.3,Warning
91,5,128,36.0,90.8,4.8,275.4,Dangerous
131,134,131,12.2,44.1,8.6,239.9,Dangerous
4,78,95,19.5,86.9,8.9,211.3,Dangerous
122,134,164,24.5,99.8,6.8,216.4,Healthy
14,31,152,23.7,24.7,6.3,256.1,Warning
29,42,187,16.7,49.4,5.9,288.8,Warning
61,52,71,43.0,51.0,8.1,256.9,Dangerous
16,80,116,28.7,74.4,8.9,205.0,Dangerous
30,46,52,11.3,67.9,7.9,201.4,Dangerous
59,62,30,39.3,49.0,7.3,42.2,Dangerous
20,83,13,33.1,54.4,7.8,148.4,Warning
129,67,173,39.1,91.3,8.1,43.8,Dangerous
84,138,67,20.7,23.7,6.2,38.5,Warning
61,44,9,42.6,55.4,5.0,70.1,Dangerous
120,61,157,27.2,44.6,4.2,236.9,Dangerous
27,54,100,29.4,94.5,6.5,69.8,Warning
21,91,153,22.9,68.1,4.3,293.5,Dangerous
35,25,112,32.2,62.1,9.0,124.9,Dangerous
91,97,203,34.2,43.9,7.6,245.3,Warning
39,20,73,30.8,57.2,4.1,255.7,Dangerous
93,37,146,36.9,22.9,8.8,134.8,Dangerous
40,97,135,41.7,29.3,6.2,244.8,Dangerous
121,127,75,19.3,52.1,8.5,197.9,Dangerous
80,48,132,16.6,81.4,6.7,208.1,Warning
120,32,18,24.2,73.4,8.4,140.4,Dangerous
129,94,95,26.8,28.7,4.6,253.2,Dangerous
25,5,131,42.2,74.4,5.6,28.5,Dangerous
135,3,180,35.1,24.8,5.9,211.8,Warning
126,55,131,25.1,25.5,8.9,204.0,Dangerous
129,127,93,35.6,73.3,6.8,190.3,Warning
55,9,68,26.5,56.5,8.3,164.5,Dangerous
11,111,198,12.6,23.4,4.4,96.4,Dangerous
79,121,156,42.5,23.6,4.0,87.6,Dangerous
80,120,169,36.1,94.1,5.4,227.2,Dangerous
55,87,104,35.1,83.2,7.5,21.5,Warning
33,85,197,42.7,97.2,7.6,53.5,Dangerous
24,47,32,44.9,81.3,4.4,264.6,Dangerous
102,68,128,13.2,60.5,4.1,243.5,Dangerous
2,113,151,33.0,25.6,5.3,197.5,Dangerous
132,141,10,26.2,23.9,6.8,145.6,Warning
18,138,6,25.0,87.0,7.9,69.1,Warning
10,17,172,41.2,73.1,8.4,212.7,Dangerous
59,25,41,28.6,61.8,5.9,77.7,Warning
95,66,32,29.8,39.9,5.2,99.5,Dangerous
46,108,143,15.6,66.6,7.2,42.2,Warning
48,128,29,44.4,99.3,5.5,247.4,Dangerous
92,96,28,10.5,82.5,6.0,80.8,Dangerous
114,119,118,43.2,92.8,4.2,116.3,Dangerous
70,5,165,11.6,94.1,4.5,274.4,Dangerous
136,54,177,42.8,86.6,4.2,247.9,Dangerous
92,4,87,29.2,78.8,7.8,277.4,Warning
67,80,21,41.7,40.4,5.3,193.2,Dangerous
136,110,146,34.8,71.9,8.2,56.9,Dangerous
82,37,135,14.4,88.2,5.8,124.6,Dangerous
94,126,18,31.9,78.1,7.6,185.6,Warning
39,90,65,27.6,51.9,6.0,258.8,Warning
134,127,71,12.5,87.6,4.2,75.0,Dangerous
79,92,108,31.8,58.0,7.9,41.9,Warning
66,3,88,38.4,82.1,8.9,166.3,Dangerous
53,25,203,39.5,39.0,6.9,297.7,Dangerous
118,33,43,10.1,58.4,6.7,27.1,Dangerous
96,136,23,32.4,36.4,5.4,252.6,Dangerous
7,118,183,28.1,61.1,5.6,84.1,Warning
37,138,102,37.0,33.9,4.1,257.5,Dangerous
56,29,50,34.6,33.9,5.5,269.4,Warning
36,111,161,24.1,98.2,5.9,70.6,Warning
63,46,101,30.3,79.7,4.1,277.5,Dangerous
140,29,120,23.2,70.7,7.5,159.2,Warning
89,56,111,20.2,90.2,4.2,243.1,Dangerous
72,100,154,33.4,33.6,8.6,257.9,Dangerous
112,73,37,14.7,88.0,7.0,154.2,Dangerous
78,137,85,43.4,89.9,8.4,260.0,Dangerous
37,86,54,31.5,41.0,6.1,25.0,Warning
38,123,97,14.3,49.0,6.2,70.9,Dangerous
74,87,31,28.7,80.6,8.9,155.5,Dangerous
33,39,152,18.2,83.8,5.5,42.2,Warning
132,122,120,13.4,56.3,8.8,64.7,Dangerous
34,110,154,39.3,41.4,4.5,235.3,Dangerous
58,15,110,34.3,81.0,6.9,153.8,Warning
45,22,75,28.2,33.3,5.5,240.0,Warning
13,95,22,10.6,33.7,6.1,56.7,Dangerous
106,55,88,26.0,25.7,8.3,199.6,Dangerous
55,92,57,27.6,81.0,4.2,101.1,Dangerous
91,101,163,38.8,27.5,5.7,250.7,Dangerous
113,119,129,30.5,88.2,7.8,67.1,Warning
136,66,161,23.8,83.1,5.1,242.9,Dangerous
107,14,192,17.8,26.9,6.8,100.8,Warning
64,103,124,29.8,26.5,8.0,211.3,Warning
121,110,8,36.2,50.9,8.0,181.0,Warning
13,79,154,25.1,47.4,5.2,295.7,Dangerous
114,42,68,30.4,79.3,8.6,162.1,Dangerous
124,86,183,32.8,50.3,8.8,291.5,Dangerous
38,62,157,16.9,22.6,5.6,160.2,Warning
134,37,50,38.2,39.9,4.9,260.6,Dangerous
64,62,49,24.4,63.0,6.0,172.3,Healthy
55,26,78,20.3,84.6,5.2,214.4,Dangerous
72,11,51,31.9,27.6,7.8,226.5,Warning
132,85,170,33.5,96.7,5.0,91.8,Dangerous
125,72,67,29.9,90.9,6.3,291.9,Healthy
80,57,138,22.7,70.2,6.5,229.7,Healthy
110,110,132,16.0,29.5,7.2,63.3,Warning
64,145,75,15.2,45.6,7.3,34.5,Warning
123,143,36,32.2,34.1,8.7,84.0,Dangerous
30,30,159,32.8,43.0,8.3,70.7,Dangerous
102,11,141,40.4,84.2,6.9,103.0,Dangerous
135,127,31,35.3,75.5,7.7,191.0,Warning
0,125,66,37.5,94.7,5.7,96.0,Warning
116,51,34,12.0,64.5,8.1,202.2,Dangerous
104,89,0,13.3,24.5,5.0,110.1,Dangerous
75,128,103,30.4,99.6,6.0,151.6,Warning
87,48,170,15.4,35.0,5.6,169.3,Warning
115,19,137,14.2,34.2,8.7,113.5,Dangerous
138,52,49,14.4,54.9,6.0,186.2,Dangerous
94,80,52,27.2,66.1,5.1,178.7,Dangerous
115,24,182,27.4,28.1,4.1,84.2,Dangerous
70,114,174,33.3,44.7,4.2,228.3,Dangerous
62,88,36,36.0,87.7,5.2,242.2,Dangerous
127,23,141,15.7,74.7,4.1,287.5,Dangerous
46,141,158,11.1,53.7,7.5,38.2,Dangerous
79,64,74,24.5,28.9,7.8,295.2,Warning
76,27,123,27.3,97.6,5.6,269.0,Warning
70,87,72,38.7,40.0,8.9,103.7,Dangerous
18,80,91,32.4,89.5,5.6,123.9,Warning
62,138,192,42.6,24.1,4.0,49.2,Dangerous
76,87,174,23.8,52.8,6.3,82.8,Healthy
87,13,155,27.7,42.3,8.6,23.3,Dangerous
34,100,96,24.1,92.4,4.9,205.9,Dangerous
126,5,187,27.3,93.5,7.5,241.3,Warning
108,2,69,19.3,79.0,6.0,147.5,Warning
73,55,177,20.7,24.3,6.0,139.2,Warning
78,28,86,25.9,30.0,7.3,218.8,Warning
66,129,11,42.7,30.7,6.9,167.8,Dangerous
94,9,117,14.9,67.1,8.8,183.9,Dangerous
16,116,150,11.4,55.2,6.5,192.2,Dangerous
86,126,43,10.2,27.4,5.9,69.7,Dangerous
20,76,162,32.0,77.9,8.6,202.0,Dangerous
49,4,177,15.9,44.1,6.8,227.5,Warning
111,78,180,26.1,64.9,7.3,142.2,Healthy
132,94,67,43.0,87.9,8.3,140.0,Dangerous
96,78,22,17.4,79.8,5.0,177.2,Dangerous
10,88,66,28.3,73.1,4.1,22.9,Dangerous
105,129,125,16.7,20.7,8.8,149.9,Dangerous
111,39,194,28.4,61.2,4.4,245.4,Dangerous
92,57,106,32.2,60.0,7.0,265.1,Warning
1,47,12,12.6,85.8,6.2,239.0,Dangerous
82,105,126,21.2,62.0,5.3,172.6,Dangerous
102,61,47,24.7,53.5,5.7,21.6,Warning
31,44,6,12.2,38.6,8.5,107.6,Dangerous
117,121,82,25.2,67.4,4.5,127.9,Dangerous
136,3,104,24.3,79.3,6.6,186.4,Warning
139,134,89,42.9,78.1,7.0,187.8,Dangerous
120,120,27,16.1,54.5,6.6,247.3,Warning
125,51,184,30.2,60.5,4.0,171.1,Dangerous
1,73,30,36.2,60.5,8.2,96.5,Dangerous
6,52,51,29.8,32.0,6.0,90.8,Warning
115,140,7,16.1,79.4,5.7,252.4,Warning
88,91,68,20.6,45.0,4.6,223.1,Dangerous
85,27,159,13.0,76.3,8.2,278.9,Dangerous
26,23,59,11.5,39.1,6.0,280.6,Dangerous
70,18,25,15.4,21.1,7.3,208.7,Warning
112,91,20,14.3,51.4,8.3,167.9,Dangerous
43,55,160,11.8,77.2,5.5,236.0,Dangerous
91,99,20,20.9,47.3,5.5,179.9,Warning
122,13,184,11.8,67.2,4.3,148.4,Dangerous
79,93,100,30.4,76.4,5.4,237.0,Dangerous
17,71,85,11.7,31.8,8.1,294.0,Dangerous
37,82,93,10.3,30.8,6.6,135.3,Dangerous
88,18,9,10.7,49.9,6.9,267.8,Dangerous
92,133,147,11.1,56.4,6.2,255.7,Dangerous
29,27,152,40.6,91.7,6.9,264.4,Dangerous
89,82,204,41.5,57.0,7.2,290.6,Dangerous
33,66,90,38.0,59.4,5.2,163.0,Dangerous
90,63,74,20.6,31.9,6.5,47.5,Warning
121,50,183,27.6,99.7,6.0,265.4,Healthy
57,129,114,10.9,29.0,7.6,262.2,Dangerous
67,110,170,43.0,65.5,7.4,116.5,Dangerous
19,113,166,19.1,20.9,8.5,54.1,Dangerous
23,3,172,14.6,32.4,7.3,209.5,Dangerous
62,102,36,35.1,80.3,6.1,89.5,Warning
81,37,84,40.3,50.5,7.0,61.0,Dangerous
12,56,23,15.7,41.5,7.9,150.4,Warning
100,11,136,43.0,62.2,6.1,94.4,Dangerous
99,97,120,21.2,71.6,7.9,155.3,Warning
35,130,135,32.7,86.7,5.0,51.4,Dangerous
115,51,13,18.2,57.1,4.5,104.0,Dangerous
124,135,164,33.5,64.9,4.9,57.5,Dangerous
15,7,68,23.6,59.6,6.0,56.5,Warning
84,77,19,10.4,30.8,5.8,295.8,Dangerous
135,83,75,37.0,84.9,7.2,157.2,Warning
27,75,146,34.5,65.7,4.2,101.7,Dangerous
120,130,54,40.1,55.1,5.2,159.4,Dangerous
96,47,27,16.0,84.1,6.5,35.2,Warning
41,136,4,18.1,68.3,4.6,211.0,Dangerous
101,118,20,35.2,86.6,7.6,267.4,Warning
28,65,156,11.0,34.9,6.4,257.2,Dangerous
40,102,166,28.9,39.0,7.6,169.6,Warning
17,40,199,14.9,39.4,7.1,280.5,Dangerous
118,43,78,24.2,36.2,7.8,47.8,Warning
100,63,69,17.3,60.2,6.0,275.5,Warning
108,2,127,36.8,31.9,8.1,104.1,Dangerous
69,140,67,29.7,80.3,6.4,167.2,Healthy
128,126,176,38.6,73.1,6.9,272.5,Dangerous
78,27,200,41.5,40.8,4.1,166.2,Dangerous
56,11,70,36.8,40.8,8.9,188.3,Dangerous
79,6,149,32.6,76.6,8.1,230.7,Dangerous
55,95,19,38.6,77.2,5.2,182.7,Dangerous
40,96,113,18.3,58.5,8.2,208.4,Dangerous
61,116,94,13.7,99.3,7.5,136.7,Dangerous
127,0,148,27.3,78.2,4.8,62.6,Dangerous
138,0,20,39.0,78.8,6.8,169.2,Dangerous
28,19,32,30.7,54.0,6.0,59.8,Warning
127,50,170,32.3,32.5,7.4,214.9,Warning
129,109,26,40.5,32.7,4.1,248.7,Dangerous
121,64,179,43.3,23.6,5.1,203.4,Dangerous
84,12,95,27.1,88.6,7.1,83.9,Warning
9,103,175,32.8,28.9,4.4,62.6,Dangerous
92,26,36,31.6,52.4,6.3,280.6,Warning
98,119,37,28.1,57.5,7.6,187.8,Warning
76,54,23,11.8,26.7,4.9,47.6,Dangerous
61,9,17,41.8,62.0,4.7,249.7,Dangerous
25,77,76,36.7,75.2,8.1,78.0,Dangerous
140,113,135,30.2,79.9,7.0,21.6,Warning
134,17,163,37.7,53.8,4.5,257.1,Dangerous
76,109,58,21.3,37.5,8.5,32.6,Dangerous
15,35,168,30.6,71.5,4.5,46.1,Dangerous
71,1,125,29.0,24.8,8.9,82.2,Dangerous
43,76,56,29.3,21.9,4.3,259.5,Dangerous
59,47,3,33.6,89.0,8.2,76.8,Dangerous
105,136,179,33.9,58.1,6.9,232.8,Warning
37,79,49,25.0,99.0,5.8,36.1,Warning
2,59,102,18.1,77.7,4.3,101.2,Dangerous
10,59,147,18.9,91.5,5.3,177.7,Dangerous
97,69,180,24.9,68.0,4.2,172.6,Dangerous
45,134,205,26.6,63.6,8.7,111.3,Dangerous
30,105,28,32.3,61.5,8.1,294.6,Dangerous
75,78,144,31.5,56.2,7.3,196.3,Warning
62,80,101,38.2,58.5,6.9,67.3,Dangerous
77,132,131,20.0,99.5,4.9,212.1,Dangerous
111,8,83,35.5,100.0,4.9,230.8,Dangerous
122,33,44,10.1,80.5,4.7,259.0,Dangerous
107,31,13,37.7,35.6,4.2,104.9,Dangerous
2,44,30,11.0,85.2,4.2,41.3,Dangerous
132,64,74,22.1,88.5,4.8,220.0,Dangerous
34,78,15,23.9,53.2,4.4,251.9,Dangerous
54,140,58,30.8,68.7,4.8,251.9,Dangerous
20,136,160,40.2,69.0,5.4,109.7,Dangerous
33,22,43,11.5,24.1,5.6,93.4,Dangerous
59,38,119,43.8,74.0,8.6,94.3,Dangerous
118,59,153,16.8,58.7,8.9,270.8,Dangerous
95,5,182,12.6,84.9,6.6,192.5,Dangerous
59,28,14,17.0,64.3,8.2,249.0,Dangerous
126,92,85,12.8,86.1,5.3,68.9,Dangerous
55,52,130,11.6,30.0,7.5,290.4,Dangerous
79,141,45,40.8,27.6,7.8,213.1,Dangerous
23,105,172,40.4,81.8,5.5,134.3,Dangerous
64,29,134,37.4,81.9,8.5,295.8,Dangerous
36,78,111,30.9,49.2,7.8,60.5,Warning
17,111,125,27.8,97.9,7.0,37.5,Warning
10,97,76,21.6,69.3,8.9,217.0,Dangerous
27,93,125,13.0,79.3,8.3,190.3,Dangerous
32,112,140,30.8,80.4,8.6,113.6,Dangerous
58,109,9,16.5,38.1,8.7,117.1,Dangerous
116,63,69,22.9,73.4,8.2,294.5,Dangerous
129,83,88,17.9,91.6,8.1,277.0,Dangerous
137,25,111,14.7,71.4,8.7,84.7,Dangerous
5,92,26,24.6,41.1,4.1,273.4,Dangerous
86,57,189,32.7,92.8,4.7,263.5,Dangerous
121,123,40,16.7,40.9,8.5,240.3,Dangerous
47,29,94,13.5,93.2,6.6,151.1,Dangerous
101,7,189,38.1,81.5,7.9,277.5,Dangerous
5,6,2,39.4,74.9,4.2,107.4,Dangerous
25,141,188,40.9,66.0,6.9,214.7,Dangerous
126,58,156,17.7,47.5,5.4,155.2,Dangerous
60,28,4,27.6,74.8,7.8,38.4,Warning
48,26,68,12.0,27.8,5.6,51.0,Dangerous
93,8,19,22.6,62.1,8.1,72.3,Dangerous
30,93,62,31.8,21.6,4.5,80.3,Dangerous
126,71,190,43.5,36.2,4.9,149.9,Dangerous
58,51,11,43.7,85.7,8.9,74.5,Dangerous
80,96,85,18.9,94.5,5.8,46.0,Warning
10,75,129,16.0,51.7,7.6,115.4,Warning
73,99,159,10.4,63.9,4.4,126.2,Dangerous
25,49,48,23.2,54.7,5.1,202.3,Dangerous
103,31,14,23.7,83.6,4.4,241.8,Dangerous
104,20,20,18.9,43.8,5.6,111.2,Warning
76,14,79,28.6,58.3,6.2,132.4,Warning
4,27,152,12.6,58.3,5.5,41.5,Dangerous
1,72,108,25.1,24.2,4.1,191.3,Dangerous
33,70,106,43.0,88.3,4.1,168.2,Dangerous
1,68,138,37.1,68.4,6.8,45.9,Warning
9,140,201,24.5,22.4,7.8,146.4,Warning
93,142,46,36.2,36.8,8.3,221.8,Dangerous
12,88,199,32.4,69.5,8.1,208.5,Dangerous
15,19,12,23.6,27.1,7.8,269.6,Warning
128,11,104,26.0,27.0,7.6,151.2,Warning
123,49,13,25.8,56.6,6.2,135.6,Warning
117,31,70,31.0,62.0,7.8,293.6,Warning
102,33,141,31.1,86.7,4.8,261.9,Dangerous
23,92,135,40.3,56.3,5.9,80.6,Dangerous
120,73,40,28.9,28.9,7.9,87.9,Warning
35,103,124,15.6,47.3,5.4,225.8,Dangerous
109,75,44,30.7,90.8,5.2,111.6,Dangerous
